"Decrease 1 qty from stock automatically when only one product was found","Reduzir 1 do estoque se apenas um produto for encontrado"
"POS Fast Checkout","PDV Checkout Rápido"
"SKU or Product Name","SKU ou Nome do Produto"
"Product name","Nome do produto"
"Price","Preço"
"Description","Descrição"
"Quantity in stock","Quantidade em estoque"
"Search","Buscar"
"In Stock","Em Estoque"
